kras	CLINGEN:C0587248~Costello syndrome (disorder)
kras	CLINGEN:C1275081~Cardio-facio-cutaneous syndrome
kras	CLINGEN:C1843181~Noonan syndrome-like disorder with loose anagen hair
kras	CLINGEN:C3501846~Noonan-Like Syndrome With Loose Anagen Hair
LOC100707779	CLINGEN:C3554657~LISSENCEPHALY 5
lamp2	CLINGEN:C0878677~Glycogen Storage Disease Type IIb
lbr	CLINGEN:C4747922~PELGER-HUET ANOMALY WITH MILD SKELETAL ANOMALIES
lman1	CLINGEN:C4551981~Familial Multiple Coagulation Factor Deficiency I
LOC100702891	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
lrpap1	CLINGEN:C3809482~MYOPIA 23, AUTOSOMAL RECESSIVE
epcam	CLINGEN:C0346153~Breast Cancer, Familial
epcam	CLINGEN:C2750471~COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8
LOC100693777	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
LOC100692385	CLINGEN:C3151087~LOEYS-DIETZ SYNDROME 3
LOC100692385	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
LOC100702352	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
LOC100708975	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
mcm2	CLINGEN:C4310775~DEAFNESS, AUTOSOMAL DOMINANT 70
mdh2	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
mecp2	CLINGEN:C0035372~Rett Syndrome
men1	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
met	CLINGEN:C1306837~Papillary Renal Cell Carcinoma
met	CLINGEN:C1336078~Papillary renal cell carcinoma, sporadic
met	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
met	CLINGEN:C3711374~Nonsyndromic Deafness
kitlg	CLINGEN:C3711374~Nonsyndromic Deafness
LOC100711508	CLINGEN:C2936904~Opitz GBBB Syndrome, X-Linked
LOC100534525	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
LOC100534525	CLINGEN:C2700265~Waardenburg Syndrome Type 2
mlh1	CLINGEN:C0265325~Turcot syndrome (disorder)
mlh1	CLINGEN:C0346153~Breast Cancer, Familial
mlh1	CLINGEN:C1333991~Hereditary Non-Polyposis Colon Cancer Type 2
mlh1	CLINGEN:C4321324~Constitutional Mismatch Repair Deficiency Syndrome
LOC100706096	CLINGEN:C3279840~Methylmalonate Semialdehyde Dehydrogenase Deficiency
mre11	CLINGEN:C0346153~Breast Cancer, Familial
msh2	CLINGEN:C0265325~Turcot syndrome (disorder)
msh2	CLINGEN:C0346153~Breast Cancer, Familial
msh2	CLINGEN:C1112155~Hereditary non-polyposis colorectal cancer syndrome
msh2	CLINGEN:C1333990~Hereditary Nonpolyposis Colorectal Cancer
msh2	CLINGEN:C4321324~Constitutional Mismatch Repair Deficiency Syndrome
msh2	CLINGEN:C4552100~Lynch Syndrome
LOC100695943	CLINGEN:C1112155~Hereditary non-polyposis colorectal cancer syndrome
LOC100695943	CLINGEN:C1333990~Hereditary Nonpolyposis Colorectal Cancer
LOC100695943	CLINGEN:C1333991~Hereditary Non-Polyposis Colon Cancer Type 2
LOC100695943	CLINGEN:C2936783~Colorectal cancer, hereditary nonpolyposis, type 1
LOC100695943	CLINGEN:C4310719~FAMILIAL ADENOMATOUS POLYPOSIS 4
mthfr	CLINGEN:C1856058~HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY
mthfr	CLINGEN:C1856059~Mthfr Deficiency, Thermolabile Type
mthfr	CLINGEN:C1856061~Methylenetetrahydrofolate reductase deficiency
mtm1	CLINGEN:C0410203~X-linked centronuclear myopathy
LOC100696178	CLINGEN:C3711374~Nonsyndromic Deafness
mut	CLINGEN:C1855114~Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency
mutyh	CLINGEN:C0346153~Breast Cancer, Familial
mutyh	CLINGEN:C1837991~Colorectal Adenomatous Polyposis, Autosomal Recessive
mybpc3	CLINGEN:C1861862~Familial Hypertrophic Cardiomyopathy Type 4
LOC100707241	CLINGEN:C0007194~Hypertrophic Cardiomyopathy
